buken_id,物件名,仮称,住所,分類,住戸数,事業主,管理会社,竣工年,竣工月,共用部1,共用部2,専有部1,専有部2,専有部3,専有部opt1,専有部opt2,専有部opt3,ハンドル,ハンドルカラー,シリンダー区分,錠ケース,装置加算額有無,シリンダーカラー,扉厚,ピッチ,備芯,官民仕様,ロック数,キーチェンジ,塩害地加算
4092,レーベンスエーデル羽倉崎,羽倉崎１丁目,大阪府泉佐野市羽倉崎１丁目３２１９－６,賃貸,109,南海不動産株式会社,,2018年,9月,なし,,なし,,,,,,,,F22,CD,有り,SH,40,未選択,,官民無し,1,,
4093,レジデンシャル武蔵ケ丘,,熊本県熊本市北区武蔵ケ丘４丁目１４２－３,分譲,70,株式会社ワールドミクニ,株式会社長谷工コミュニティ九州,2018年,8月,Tebra pass A,,Tebra cell A,,,1,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
4094,ローレルコート御器所駅前ザ・レジデンス,名古屋市昭和区緑町三丁目計画,愛知県名古屋市昭和区緑町３丁目６番,分譲,73,近鉄不動産株式会社,近鉄住宅管理株式会社,2018年,9月,Tebra pass A,,なし,,,,,,,,F22,CD,有り,BK,40,未選択,,官民無し,2,,
4095,ワコーレ　ザ・ハウス神戸熊内,ワコーレ中央区熊内町５丁目,兵庫県神戸市中央区熊内町５丁目４番３（登記簿）,分譲,16,和田興産株式会社,株式会社日本ネットワークサービス,2018年,9月,Tebra pass A,,なし,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,上部官民,2,,
4097,ブライズ中野江古田,中野区江古田２丁目計画,東京都中野区江古田2丁目10-23.,賃貸,66,株式会社日本ワークス,,2018年,9月,Tebra pass A,,なし,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
4101,HAMACHO HOTEL&APARTMENT,日本橋浜町３－２０計画　浜町ホテル＆アパ―トメント,東京都東京都中央区浜町３丁目２０番２号,分譲,108,安田不動産株式会社,,2019年,1月,Tebra pass A,,なし,,,,,,PJ400,塗装シルバー SL,F22,PJ,有り,SL,40,未選択,,上部官民,2,,
4102,ＬａＤｏｕｃｅｕｒ梅田ＥＡＳＴ・ＷＥＳＴ,大阪市北区西天満4丁目計画［西棟］［東棟］,大阪府大阪市北区西天満４丁目１８０番,賃貸,144,株式会社日本レジデンシャル ,,2018年,10月,Tebra one A,,なし,,,,,,,,F22,CD,有り,SH,40,未選択,,官民無し,2,,
4103,アルス吹田穂波公園,,大阪府吹田市穂波町10-15,リプレイス,46,管理組合,,2018年,10月,Tebra one A,,Tebra cell A,,,1,,,PP300,塗装シルバー SL,T20,CD,有り,SH,40,未選択,,官民無し,2,,
4104,アルファステイツ助任本町,,徳島県徳島市助任本町１丁目２８－１,分譲,42,穴吹興産株式会社,株式会社穴吹ハウジングサービス,2018年,10月,Tebra pass A,,Tebra cell A,Tebra cell H,,1,1,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
4105,アルファステイツ西町,,鳥取県鳥取市西町２丁目１１１,分譲,45,穴吹興産株式会社,株式会社穴吹ハウジングサービス,2018年,10月,Tebra pass A,,Tebra cell A,,,,,,,,F22,CD,有り,SL,40,未選択,,官民無し,2,,
4106,アルファスマート宮の前,,山口県周南市宮の前１丁目５－１,分譲,36,穴吹興産株式会社,株式会社穴吹ハウジングサービス,2018年,9月,Tebra pass A,,Tebra cell A,,,1,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
4107,エイルマンション高麗町Ⅲ,,鹿児島県鹿児島市高麗町４２番１２,分譲,55,作州商事株式会社,ランドメンテナンス株式会社,2018年,10月,Tebra pass A,,Tebra cell A,,,1,,,PP350,塗装シルバー SL,F22,CD,有り,SL,40,未選択,,官民無し,2,,
4109,グランアッシュ塚口,,兵庫県尼崎市南塚口３丁目６８２－２,分譲,40,株式会社ホームズ,株式会社大京アステージ,2018年,10月,Tebra pass A,,Tebra cell A,,,,,,,,F22,CD,有り,SL,40,未選択,,官民無し,2,,
4110,クレイシア日本橋水天宮前,クレイシア水天宮　新築工事,東京都中央区日本橋箱崎町１５−８,賃貸,34,プロパティエージェント,,2018年,10月,Tebra pass F,,なし,,,,,,PP300,塗装シルバー SL,T20,CD,有り,SH,40,未選択,K22N18,上下官民,2,,
4111,クレイシア・ヴァースクレイシア入谷,クレイシア入谷Ⅱ　,東京都台東区竜泉2-7,分譲,78,プロパティエージェント,,2018年,10月,Tebra pass F,,,,,,,,PJ400,塗装シルバー SL,T20,PJ,有り,SL,40,未選択,,官民無し,2,,
4112,コンシェリア品川南 THE GRAND RESIDENCE,コンシェリア南大井新築工事,東京都品川区南大井４丁目12-11,賃貸,116,株式会社クレアスライフ,,2018年,10月,Tebra pass A,,なし,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
4113,シエリア京都西大路,七条御所ノ内,京都府京都市下京区七条御所之内中町５０番１,分譲,58,関電不動産開発株式会社,関電コミュニティ株式会社,2018年,10月,Tebra pass A,,Tebra cell A,,,1,,,,,F22,CD,有り,BK,40,未選択,,官民無し,2,,
4115,ソライエ葛飾小菅,葛飾区小菅計画　新築工事,東京都葛飾区小菅1丁目19-23他(地番),分譲,191,東武鉄道株式会社,,2018年,10月,Tebra pass A,,なし,,,,,,PJ400,塗装シルバー SL,F22,PJ,有り,SL,40,未選択,,官民無し,2,,
4116,ディモア阿倍野昭和町,ディモア阿倍野王子町,大阪府大阪市阿倍野区王子町２－１７－１４,分譲,70,株式会社ワールド・エステート,近鉄住宅管理株式会社,2018年,10月,Tebra pass A,,Tebra cell A,,,,,,PP350,塗装シルバー SL,F22,CD,有り,SL,40,未選択,,官民無し,2,,
4117,バウス本郷三丁目,文京区湯島２丁目計画, 東京都文京区湯島２丁目１７−１１,分譲,36,日本土地建物株式会社,,2018年,10月,Tebra pass A,,なし,,,,,,他社,,F22,CD,有り,SH,40,未選択,,上下官民,2,,
4118,ピアース南麻布,港区南麻布２丁目プロジェクト,東京都港区南麻布２丁目１３,分譲,40,株式会社モリモト,,2018年,10月,Tebra pass A,,なし,,,,,,他社,ー,F22,CD,有り,BK,40,未選択,,上部官民,2,,
4119,ブライズ多摩川ＤＵＥ,東矢口２丁目マンション,東京都大田区東矢口2丁目13-9  ,分譲,40,株式会社日本ワークス,,2018年,2月,Tebra pass A,,なし,,,,,,PP300,塗装シルバー SL,F22,CD,有り,SH,40,未選択,,官民無し,2,,
4121,プレシス都立大学,,東京都目黒区中根２丁目41-1,,29,一建設株式会社,,2018年,10月,Tebra pass A,,Tebra A,,,1,,,PP300,塗装シルバー SL,F22,CD,有り,BK,40,未選択,,官民無し,2,,
4122,プレミスト天神赤坂タワー,,福岡県福岡市中央区大名２－２４９－１,分譲,220,大和ハウス工業株式会社,大和ライフネクスト株式会社,2018年,10月,Tebra pass A,,TebraH,,,,,,PP200,塗装ブラック BK,F22,CD,有り,BK,40,未選択,,官民無し,2,,
4123,リバーガーデン八尾山本,,大阪府八尾市山本町南３丁目２３番６,,78,リバー産業株式会社,株式会社浪速管理,2018年,9月,Tebra pass A,,Tebra cell A,,,1,,,PJ400,塗装シルバー SL,F22,PJ,有り,SL,40,未選択,,官民無し,2,,
4124,レジデンシャル生駒,,奈良県生駒市北新町６４３番２,,25,株式会社ワールドウィステリアホームズ,株式会社大京アステージ,2018年,11月,Tebra pass A,,Tebra cell A,,,1,,,PJ400,塗装ブラック BK,F22,PJ,有り,BK,40,未選択,,官民無し,2,,
