clavis_id,buken_name_clavis,kari_name,address,buken_path,csv_buken_name,id_in_csv,name_match
4507,EsTRUTH RYOGOKUⅡ,石原１丁目計画,東京都墨田区石原1-41-4,/support/after/admin/?m=Edit&id=4507,EsTRUTH RYOGOKUⅡ,True,True
4553,神楽坂ザ・レジデンス,神楽坂白銀プロジェクト,東京都新宿区神楽坂白銀町2-12,/support/after/admin/?m=Edit&id=4553,神楽坂ザ・レジデンス,True,True
4564,HY’s Salire 用賀,ヴァローレ用賀新築工事,東京都世田谷区玉川台２－３９－８,/support/after/admin/?m=Edit&id=4564,HY’s Salire 用賀,True,True
4567,バームステージ大島,,東京都江東区大島８丁目２１−１３,/support/after/admin/?m=Edit&id=4567,バームステージ大島,True,True
4602,ARISACOURT,豊島区池袋２丁目プロジェクト,東京都豊島区池袋２－２１－１,/support/after/admin/?m=Edit&id=4602,ARISACOURT,True,True
4632,ベルジュール国立ウエスト,国立西３丁目プロジェクト,東京都国立市中３丁目１１−３３,/support/after/admin/?m=Edit&id=4632,ベルジュール国立ウエスト,True,True
4641,AIFLAT SAKURAJOSUI(AIFLAT桜上水),杉並区下高井戸１丁目新築工事,東京都杉並区下高井戸1丁目31番2号（住居表示）,/support/after/admin/?m=Edit&id=4641,AIFLAT SAKURAJOSUI(AIFLAT桜上水),True,True
4661,ルジェンテ品川南大井フレクシス,品川区南大井二丁目計画,東京都品川区南大井２丁目１−１１,/support/after/admin/?m=Edit&id=4661,ルジェンテ品川南大井フレクシス,True,True
4676,クレアシティ所沢,クレアシティ所沢　改修工事,東京都,/support/after/admin/?m=Edit&id=4676,クレアシティ所沢,True,True
4685,デュフレ渋谷本町,渋谷区本町６丁目共同住宅,東京都渋谷区本町６丁目８−６,/support/after/admin/?m=Edit&id=4685,デュフレ渋谷本町,True,True
4706,ベルシード氷川台,ベルシード氷川台,東京都練馬区氷川台3-1-17,/support/after/admin/?m=Edit&id=4706,ベルシード氷川台,True,True
4710,ステイツ武蔵新城エスタシオン,ステイツ武蔵新城エスタシオン,神奈川県川崎市中原区上新城2丁目7-11,/support/after/admin/?m=Edit&id=4710,ステイツ武蔵新城エスタシオン,True,True
